product_idx,product_id,product_name,category_fixed,price,rating
26,B0C5C6NT2R,"Vastar 42 in 1 Precision Screwdriver Set, Electronics Tool Kit with T5 T6 T7 T8 T9, Triwing Y00, Star P5 etc, Mini Repair Kit for Computer, Phone, PS5, Switch, Xbox, Laptop, Tablet, Controller, Watch",Electronics,15.99,4.4
27,B01N4Q45I3,Pioneer Hi-Vis 5-pt Tear-Away Traffic Safety Vest - Breathable Poly Mesh - Drop Shoulder - Black - V1021470-S/M,Other,13.9,4.2
28,B07LC23SVM,Nanoleaf Canvas Smarter Kit,Smart Home,229.99,4.5
29,B088RF2MHN,"SAICOOS Whiskey Stones 16 Pack,Reusable Ice Cubes, High Cooling Technology，Stainless Steel Ice Cubes, for Whiskey, Vodka, Liqueurs, Wine,Beverage Juice or Soda, Pack of 16…",Other,35.99,4.3
30,B0BNBLN82Q,"Bath Sealant Strip, Shower Seal Strip, Self-Adhesive Sealant Tape, Shower Threshold Water Barrier for Sink, Bathtub, Wet Room Floor (White(2M))",Tools,15.99,3.4
31,B078FZ3KQJ,Gunpla 3 Pieces 4-1/2-inch 40 Tooth Alloy Steel TCT General Purpose Hard & Soft Wood Cutting Saw Blade with 7/8-inch Arbor,Tools,17.08,4.5
32,B09M6JXQ34,"M6 x 12/16/20/25/30mm Flanged Hex Bolts and M8 x 16/20/25/30mm Flange Hexagon Screws, VIGURE 228PCS Stainless Steel 18-8 (304) M6-1.0 M8-1.25 Bolts Nuts Flat Lock Washers",Other,36.99,4.6
33,B0948QFG6G,"Digital Caliper, MOOCK 0-6 inches Caliper Measuring Tool Electronic Digital Calipers Micrometer Vernier Caliper with Stainless Steel, Large LCD Screen, Inch Millimeter Fractions Conversion",Smart Home,18.99,4.2
34,B0991V1CD3,"Monbessi Work Knee Pads for Construction, Adjustable No-Slip Knee Protector with Thick Foam Padding for Housework, Gardening, Flooring, Roofing, Sports",Sports,22.98,4.0
35,B089F9VF6P,"UGREEN USB Cable USB 3.0 A to A Cable Male to Male 5Gbps Data Transfer Cord Nylon Braided Cable for Hard Drive Enclosure, TV Box, Modem, Camera, Printer, Laptop Cooling Fan, 6ft",Electronics,13.99,4.5
36,B0179MXKU8,"CableCreation Active USB 3.0 Extension Cable 16.4 FT, USB 3.0 Extender Male to Female Cord with Signal Booster, Compatible with Oculus Quest 2, and Rift Sensor, Steam VR, Gaming PC, 5 Meters",Electronics,27.99,4.5
37,B07V7B2WMZ,"UGREEN USB to USB C Cable 2Pack, 18W Dual Right Angle USB C Cable Fast Charge, 90 Degree USB C Charging Cord for Galaxy A53 A71 A03 S22 S21 S20 FE, Pixel 6a 5, LG G8 V50 V60, Moto G G53, 3FT",Electronics,16.99,4.4
38,B09CPNLZ1L,HOMOKUS Wine Rack Countertop Metal Wine Holder Tabletop Wine Rack Storage Wine Shelf Portable Wine Cabinet Freestanding Wine Holder for Bar Counter Restaurant Table and Living Room (Rosegold),Electronics,21.99,4.3
39,B08LZKLKW8,"2"" Plate Caster Wheels Heavy Duty 600 Lbs Load Capacity Swivel Casters with Brake Set of 4, Safety Dual Locking, No Noise Wheels for Furniture, Carts (Free Screws and Screwdriver)",Automotive,24.99,4.7
40,B07M7CLTLT,VIGRUE 300Pcs M2.5/M3/M4/M5/M6/M8 Hex Allen Head Socket Set Screw Bolts Assortment Kit Grub Screw with Internal Hex Drive (Black),Tools,17.99,4.6
41,B0713N9S79,Philips 278846 Halogen 50W Mrc16 Xenon Medium Base Flood-3 Pack White,Other,29.97,4.4
42,B0BKZHW3KG,"SALI 25 Pack Cut Off Wheels 3 Inch General Purpose Metal Cutting Wheel for 3 in Angle Grinders and Die Grinders- Cutting Disc Aggressive Cutting 3"" x 1/16"" x 3/8"" Operating Up to 25000 RPM and 80 M/S",Other,16.99,4.8
43,B003CYRGOE,"Party Essentials Plastic Cutlery Assortment and Knives/Forks/Spoons, Neon Green, 17 Place Setting-Count",Other,4.99,4.1
44,B08THK2Y8N,"Garage Door Top and Sides Seal 32.8 Feet Weatherproofing Universal Rubber Weather Sealing Strip Professional Included Nails, White",Other,35.99,4.1
45,B000LQEV9Y,"Sunex 2300, 1/2"" Drive, Universal Impact Joint, Cr-Mo Steel, Radius Corner Design, Flexible, Meets ANSI Standards",Other,24.0,4.7
46,B09PVGK2XL,"BANCHELLE Tissue Refills Paper for Car Tissue Holder, 50PCS/Bag, 2-Ply (12 Bags)",Office,19.99,4.4
47,B07N4JHXDT,"ScotchBlue Painter's Tape Applicator, White, with 1 Starter Roll 1.41 in. x 20 yd.",Other,23.7,4.3
48,B073QMYKDM,DiCUNO 450pcs(5 Colors x 90pcs) 5mm LED Light Emitting Diode Round Assorted Color White/Red/Yellow/Green/Blue Kit Box,Other,19.99,4.7
49,B087CRF6CT,"Telescope 130EQ Newtonian Reflector Telescopes for Adults, Professional Telescopes for Adults Astronomy, Comes with 1.5X Barlow Lens Smartphone Adapter & 13% T Moon Filter",Camera,399.99,4.3
50,B09GTV4Y1C,"Short USB C to USB C Cable, CableCreation Type C Fast Charging USB C Cable 0.8FT, Double-Braided Exterior Compatible with Galaxy S23 Ultra S22 S21 S20 Note 20, MacBook, iPad Mini 6, iPad Pro 2020",Electronics,14.99,4.6
51,B09H6B6TCG,"Palace Learning 4 Pack - Anatomical Poster Set - Laminated - Muscular, Skeletal, Ligaments of the Joints, Anatomy of the Spine - Anatomy Chart Set (LAMINATED, 18” x 27”)",Gaming,28.99,4.7
52,B0BLSK5MRL,"hansang E12 Candelabra LED Light Bulbs, 40W Equivalent, 4000K Natural Daylight, Dimmable E12 Small Base Edison Bulbs for Ceiling Fan, Type B Chandelier Light Bulbs, 120V, CRI85+, 400LM, 8 Pack",Other,31.99,4.6
53,B09L6JXJVK,"Casters, 4"" Caster Wheels，Casters Set of 4 Heavy Duty - ASRINIEY Orange Polyurethane Castors, Top Plate Swivel Wheels, 4-Pack Industrial Casters with Brake, Locking Casters for Furniture and Workbench",Automotive,39.99,4.8
54,B09WV683DP,"Stainless Steel Ice Cubes, 8 PSC Reusable Whiskey Metal Chilling Stones Set, Whiskey Rocks and Ice Cube Trays, Great Gift for Father's Day, Dad's Birthday- Mens Gifts",Other,17.99,4.2
55,B000BQXBJK,Lisle 51900 Spot Weld Chisel,Kitchen,21.85,4.6
56,B0B2DCH6KZ,"Mayouko 3/8"" Drive Extra Long Allen Hex Bit Socket Set, S2&CR-V, Metric&SAE, 18 Pieces, 1/8"" - 3/8"", 3-10 mm",Tools,41.97,4.7
57,B07CBV5C5G,"Bestgle HSS Router Bits 1/8"" 3mm Shank Wood Engraving Milling Trimming Cutter Bits Fit for Foredom Rotary Tool Set Pack of 10",Tools,13.99,4.0
58,B0C3R43X6X,"ERNETTE 40PCS LED Foam Sticks - Glow Sticks - Glow Sticks for Weddings - Glow Sticks for Festivals Multi-color with 3 flashing modes, suitable for parties, festivals and celebrations.",Camera,59.99,5.0
59,B0040ZOIZO,"Kimberly-Clark Professional 67805 Scott 1000 Jumbo Roll Commercial Toilet Paper, Recycled Fiber, 2-PLY, White, 12 Rolls/Case",Office,114.1,4.6
60,B094VNT6DW,Cegzer 18 Universal Metal Wood Oscillating Multitool Quick Release Saw Blades Compatible with Fein Multimaster Porter Cable Black & Decker Bosch Dewalt Worx Rockwell Makita Milwaukee Chicago Craftsman,Electronics,24.99,4.4
61,B00KMP9Q2Q,dudley 3-Digit Combination Lock - Graphic Design,Other,10.97,4.3
62,B00OJ72LHK,"BLACK+DECKER Jig Saw, Smart Select, 5.0-Amp (BDEJS600C)",Smart Home,57.98,4.5
63,B0748X3789,"BLACK+DECKER Dustbuster Handheld Vacuum, Cordless, Chili Red (HLVA320J26)",Other,49.98,4.1
64,B0743J358P,"Leviton 1403-W Lampholder with Two 15 Amp, 125 Volt, 2-Pole, 2-Wire Outlets - White",Audio,5.38,4.5
65,B011GGWY1Y,P-80 Plasma Cutter Roller Guide Wheel Spacer Circle Compass Stand Off Fit Pilot Arc Starting (One Screw Positioning),Books,11.5,3.6
66,B09G39PN82,"Bamada 7-Inch Long Shower Glass Door Hooks for Towel Robes, Over Door Hooks for Shower Frameless Glass Door 10mm thick, 2-Pack Heavy Duty Stainless Steel Bathroom Bathrobes & Towel Hanger Hooks Silver",Home,14.58,4.5
67,B004FV4TNE,"Master Lock 2300D Pen Oiler Lock Lubricant with PTFE, 0.25-Ounces",Office,7.5,4.7
68,B0086OGN9E,StarTech.com 15.7 in (400 mm) SATA Power Splitter Adapter Cable - M/F - 4x Serial ATA Power Cable Splitter (PYO4SATA),Electronics,14.6,4.6
69,B08P6TR9CF,"PIFUT E14 LED Bulb, Dimmable with Dimmer Switch, 110v 300 Lumens 2700k 40w Equivalent, Best Replacement for Halogen and Incandescent Bulb, Candelabra LED Bulbs, 10 Pack",Other,29.99,4.7
70,B08J2NZK4D,"ISPINNER 385pcs 8 Sizes Aluminum Blind Rivets, Pop Rivets Assortment Kit (Silver)",Other,23.99,4.6
71,B09H74TRX5,"SAVITA 100pcs Kraft Toothpick Flags, Brown Mini Food Labels Flags for Party Food, Cupcake Decoration, Cheese Label, Fruit Salad，Food Tags",Home,8.99,4.4
72,B0C7SHQ9WF,"Medicom AssureTouch Agile Nitrile Gloves with Fingertip Grips 100pc, Blue Multi Use Nitrile Disposable Gloves Without Powder",Other,26.99,5.0
73,B07TVCWDGW,"YESWELDER Digital MIG-205DS MIG Welder,200Amp 110/220V Dual Voltage MIG Welding Machine, Gas/Gasless MIG/Lift TIG/ARC 4 in 1 Welder",Audio,559.99,4.4
74,B01FIMM8WW,"VIVO Gray 250ft Bulk Cat6, CCA Ethernet Cable, 23 AWG, UTP Pull Box, Cat-6 Wire, Indoor, Network Installations (CABLE-V015)",Electronics,49.99,4.4
75,B019GITCFK,LePage 2In1 Seal & Bond Interior 295 ml,Other,9.79,4.3
76,B08LQGDV89,"3D Printer UV Resin Curing Light for SLA/DLP 3D Printer Solidify Photosensitive Resin 405nm UV Resin with 60W Output Affect, DIY Curing Enclosue",Camera,28.99,4.2
77,B0CH2JMXDF,"Key Cover Ring, 50 Pcs Silicone Key Cover, Key Caps Covers for House Key, Office Keys, Keys Organization (8 Colors)",Office,8.99,4.0
78,B0BS1SS1HT,"A-M Gutter Guard - 1/2"" #8 Stainless Steel Zip Screws - Self-Piercing Easy Start Tip - Mill Finish - 1/4"" Slotted Hex Washer Head - Pack of 100 - Includes 1/4"" Magnetic Hex Driver – For Gutter Install",Other,30.99,4.7
79,B00CFTRLGA,"DecoBros Door Hanger Over The Door Hook Towel Rack Bathroom Organizer, Chrome, 11 Hooks",Home,19.87,4.2
80,B08B13HSSM,250 Welding Machine,Other,99.99,4.5
81,B00879PVX2,Perfect Point Throwing Knife,Other,19.45,4.1
82,B083H6PSVJ,"DisplayPort to HDMI, Answin 6ft 4K DisplayPort to HDMI Cable - Nylon Braided DP to HDMI Uni-Directional Display Port to HDMI Adapter Cable for Most HDMI Monitors",Electronics,14.98,4.3
83,B005KDDLQ2,"Rubbermaid Commercial Corn Fiber Whisk Broom, 12-1/4-Inch Overall Length, Yellow (FG9B5500YEL)",Other,15.98,4.3
84,B0859Y88BL,Black Bathroom Faucet GGStudy Single Handle Bathroom Facet One Hole Bathroom Vanity Faucet,Other,39.99,4.1
85,B08GBVPYCJ,"DURATECH 1/4-Inch Drive Click Torque Wrench Set, 40-200 in-lb / 4.52-22.6 Nm, with Hex & Torx Bit Sockets, Storage Case Included",Tools,49.99,4.3
86,B07T7MGJJ8,"HANGDONE Nail Assortment 250-Pieces, 4 Sizes, Assorted Nails Kit for Wood/Drywall, Zinc Plated Finish",Other,15.99,4.6
87,B09C6DQDNT,"Noctua NF-A12x25 PWM chromax.Black.swap, Premium Quiet Fan, 4-Pin (120mm, Black)",Other,44.95,4.8
88,B0B38VCLFW,"Square Tool and Carpenter Square Set,7 in. Aluminum Alloy Rafter Square +12in.Framing Square Combo,Upgraded L Square Ruler, Right Angle Ruler",Electronics,35.99,0.0
89,B08D994CVB,5 Inch Hook and Loop Backing Pad 5'' Backing Plate with 5/8-11 Threads Sanding Pad Angle Grinder Accessories Sanding Buffing Polishing (1 Pack),Other,16.99,4.5
90,B001DD04SQ,Rapid Response STR-15S25 Strep A Test Kit (Pack of 25),Other,69.99,3.5
91,B0BZH5FY9X,"VORXEON 9PCS Allen Wrench Hex Key Set, Metric Long Ball End Allen Key Set L-Key with Visible Coding for Bike Motorcycle Repair Furniture Assembly Household DIY (1.5mm-10mm)",Automotive,16.99,4.7
92,B08X65KFCN,"USB Printer Cable 10FT/3M USB 2.0 Type A Male to B Male Computer Scanner Cord High Speed Compatible for Brother, HP, Canon, Lexmark, Dell, Xerox, Samsung and More",Electronics,9.99,4.7
93,B0BLCB57TT,Foam Only 1 pair used earplug you will get.,Other,10.99,4.1
94,B08NJ7DLSP,"VEVOR Impact Socket Set 1/2 Inches 19 Piece Impact Sockets, Deep Socket, 6-Point Sockets, Cr-V, 1/2 Inches Drive Socket Set Impact 3/8 inch - 1-1/2 inch, with a Storage Cage, Blue",Tools,99.99,4.7
95,B08F55SKST,"LOVIMAG Magnetic Hooks Heavy Duty, 100LBS Strong Magnet Hooks for Hanging Heavy Duty, Magnetic Hooks for Cruise Cabins, Grill, Classroom, Home, Workplace, Office etc, 12pack",Office,34.49,4.5
96,B0C4F6BBV7,"Keyless Entry Door Lock with Handles, UYF Electronic Keypad Deadbolt Lock with Lever, Front Door Lock Set, Auto Lock, Smart Digital Touchscreen with Fobs Code Key, Easy Installation",Smart Home,189.99,4.3
97,B0B7MMDP7S,"KEZE 160PCS Silicone and Rubber Gasket for Shower Head Gasket Garden Hose Gasket for 1"", 3/4"", 1/2"", 3/8"", Pipe Repair",Other,19.99,4.5
98,B00M1XZXGU,"Slice 10514 Mini Cutter, Ceramic Safety Blade, Pocket Sized, Auto-Retractable, Stays Sharp up to 10X Longer, Grey",Electronics,16.63,4.3
99,B08ZH7RF9W,"BIC Velocity Mechanical Pencils with Colored Leads, Medium Point (0.7 mm), 6-Count Pack, Perfect for Drawing and Journaling (MV7CP61-AST)",Office,12.92,4.3
100,B09ZP4246N,Spray Bottles Plastic Spraying Water Bottle 1000ml Empty Spray Bottle Cleaning with Adjustable Nozzle Trigger Sprayer for Housekeeping Office Plants Hair 2PCS,Office,14.99,4.0
101,B01568S0NY,"Gala No Dust Floor Broom (Freedom from New Broom Dust- Busan), 2 Count",Other,31.99,3.9
102,B09PYQQYL6,"ELAMOR M19 - Keyless Entry Door Lock with Keypads, Electronic Deadbolt Lock, Auto Lock, 50 User Codes, Security Waterproof, Easy to Install, Ideal for Front Door, Home Use, Apartment",Automotive,69.99,4.1
103,B00A1SQBPE,"Brady 58347, Flagging Tape, Yellow (1 Per Order)",Other,6.09,4.6
104,B00AANJVJ8,"Big D 680 Non-para Urinal Toss Block, Evergreen Fragrance, 1000 Flushes (Pack of 12) - Ideal for restrooms in Offices, Schools, Restaurants, Hotels, Stores - Urinal Deodorizer Cake Mint Puck",Office,23.98,3.7
105,B007UXUC1C,"Master Lock, Brass, Padlock, ProSeries Set Your Own Combination Lock, 2-1/4 in. Wide, 1177D, No Size",Other,25.05,4.2
106,B09V1BG1DN,"Mini Full Body Human Skeleton Model for Anatomy, Human Skeleton Model with Movable Arms and Legs on Plastic Base for Medical Teaching Learning, Kids Learning Education Display Tool",Toys,30.99,3.5
107,B097B8T51X,"100 PCS 5 Inch Sanding Disc 120 Grit, 8 Hole Sandpaper Hook and Loop Sanding Pads Round Orbital Sandpaper for Random Orbital Sander",Office,21.99,4.4
108,B01A6WISSC,Makita 4100NH3ZX 4-3/8-Inch Masonry Saw,Tools,139.0,4.3
109,B083GNCYYL,"Gezond 350pcs Compostable Paper Plates Set, Eco-Friendly Heavy-Duty Disposable Paper Plates Cutlery Includes Biodegradable Plates, Forks, Knives, Spoons, Cups and Straws for 50 Guests",Office,61.99,4.6
110,B082NH9KVJ,"Topbuti 15 Pcs Mini Stainless Steel Wire Brush Set for Cleaning Welding Slag Rust, Wire Bristle Scratch Brush Set, Curved Handle Brushes",Other,11.95,4.2
111,B07QM1VBJ6,"United Filter 16x20x4 MERV 11 Furnace Air Filters (Case of 4) - HVAC Filters Captures Airborne Dust, Pollen, Mould Spores & Smoke - Air Filters Made in Canada",Camera,94.99,4.8
112,B082GGF9GL,Kleenex Everyday 9 x Pocket Tissues Packs - 8 Packs Included Pack of 2,Other,7.99,4.7
113,B0CDH32WZQ,"UYF Fingerprint Door Lock,Keypad Door Lock with Fobs,Smart Locks for Front Door,Keyless Deadbolt for Front Door,Electronic Deadbolt for Bedroom,Digital Door Lock for Hotel,Black",Smart Home,99.99,4.3
114,B076645YB7,"Southwire 64267201 Red/White Bell Wire, 50ft",Other,17.07,4.6
115,B00SH2CG3C,"Command Assorted Outdoor Foam Refill Strips, White, 4 Medium Strips 2 Large Strips, 6 Count",Other,6.29,4.4
116,B0835KJZ5Y,"SOKA Centerset Bathroom Sink Faucet Two Handles High Arc 4"" Lavatory Bath Stainless Steel with Deck Plate & Pop-Up Drain Assembly Fit 3 Hole Installation, Brushed Nickel",Other,42.72,4.3
117,B0BG4PXSLC,"Elongated Toilet Seat with Lid, Quiet Close, Slow Close Seat and Cover, White, 18.3Lx14.56W inches",Other,40.99,3.9
118,B0BHS4ZNMQ,"Weather Stripping D-Type Door Seal Strip, 33Feet (10M) Door Soundproofing Door Noise Block, Collision Avoidance Corner Protector Foam Weather Strip for Door and Window by SUNMON (White)",Other,17.99,4.1
119,B0B77GCS4L,"Microfiber Feather Duster Kit, Extendable Pole Cobweb Duster with 2 Bendable Head, Reusable and Washable Dusters for Cleaning Ceiling Fan, High Ceiling, Cupboard, Blinds, Furniture & Cars",Home,15.99,4.2
120,B0056LI5PK,KOHLER K-4774-0 Brevia Elongated White Toilet Seatwith Quick-Release Hinges and Quick-Attach Hardware for Easy Clean,Other,52.99,4.2
121,B07KHBZ2BP,"CRAFTSMAN V20 Cordless Brad Nailer Kit, 18GA (CMCN618C1)",Other,285.37,4.5
122,B0002KNZJ6,"Performance Tool W1173 SAE/Metric 40-Piece SAE and Metric Socket Set, 1/4 inch & 3/8 inch Drive",Tools,21.25,3.6
123,B0C5Q8MVMJ,"12W LED Corn Light Bulb - Equivalent 120W Incandescent, 1200LM, E26 Base Daylight 6500K Non-Dimmable, 4-Pack",Other,19.99,4.9
124,B01MDTO6X7,UY CHAN Upgraded Original TS101 40W PD 65W DC Power Programmable Pocket-Size Smart Fast Heat Portable Soldering Iron Station Kit (B2 Kit),Smart Home,109.99,4.6
125,B09JBYMVDM,"Silk PLA Filament 1.75mm +/- 0.03mm, Update kexcelled 3D Printing Filament, Shiny Glossy Surface, 1kg Spool (2.2lbs), Fit Most FDM Printer, Tangle-Free, Vacuum Packaging, Ice Blue",Office,27.99,4.6
126,B09QXZQTR4,"AdTech 220-145-5 4"" Full Size Hot Glue Sticks, 4 inch, Clear",Other,39.99,4.7
127,B0C7KV3NFW,"Awaiymi 6Pcs Hard Hat Sweatband Washable, Cotton Hard Hat Liner,Reusable Hard Hat Accessories, Antiperspirant Belt Air Cushion Sweatband Helmet Comforter Pad",Wearables,19.99,4.7
128,B0BZHSJ3XK,"IPL Safety Goggles, Safety Beauty UV LED Eye Protection Glasses, LED Protective Glasses, UV Solarium Protective Glasses, for Sunbed Beauty Patients Sunglasses IPL Treatment LED Light Therapy, 4Pcs",Beauty,11.99,4.4
129,B09D76KLJL,"VIGRUE 495Pcs Aluminum Rivet Assortment Kit, Pop Rivets Blind Rivets 9 Sizes Assortment (495)",Other,29.99,4.5
130,B0BCQ5RKXH,"Readaeer 3D Skull Ice Cube Mold Large Silicone Ice Skull Mold for Whiskey, Cocktails, Beer and Coffee",Kitchen,22.99,4.6
131,B074G4Z2S3,"VITAWRAP plastic wrap, cp 305 m",Other,24.99,4.5
132,B0C7GWR6V7,GREEN DEVIL Universal Bump Cap Insert for Baseball Caps Vented Lightweight Safety Bump Hat Insert for Men Women 1 Pack,Fashion,15.99,0.0
133,B08PKX4YLZ,"eSUN 3D Printing Filament Vacuum Storage Kit, Spool Storage Sealing Bags Dust Proof Humidity Resistant for Keeping Filament Dry, 10 Vacuum Bags/Kit",Home,29.99,4.0
134,B00JH41U7M,Deluxe Pallet Buster w/41 Handle,Other,104.36,4.6
135,B00J48VHHE,California Costumes Witch's Broom,Other,20.75,4.4
136,B0B2VK7TKL,"SLShePack 50 Pack 9 ½'' x 6'' 2'' Cookies Macaron Boxes for 12, Bakery Cakesicle Chocolate Covered Strawberries with Window Ore Cocoa Bombs Pastry White",Automotive,49.9,4.4
137,B07PB355MN,14x25x1 MERV 11 Pleated Furnace Filters. Actual / Exact Size 13 1/2 x 24 1/2 x 3/4. Case of 12 Made in Canada by FurnaceFilters.ca,Camera,89.99,4.7
138,B0B4BFXNJ9,TEKTON 1/2 Inch Drive Split Beam Torque Wrench (40-250 ft.-lb.) | TRQ62203AMZ,Tools,224.1,4.8
139,B09XPXD1XD,"IEMAI Carbon Fiber PETG Filament, PETG Filament 1.75mm 3D Printer Filament, PETG Filament Filled 20% Carbon Fiber, 3D Printing Filament 1kg Spool Matte Black",Office,36.99,4.3
140,B009EE2RQS,"Perfect Stix Wooden Coffee Stirrer Stick, 7-1/2"" Length (Pack of 1,000)",Kitchen,16.55,4.4
141,B07JY2MWLF,DEWALT 20V MAX Random Orbital Sander Kit (DCW210P1),Other,219.0,4.6
142,B0832ZFKH3,"MMOBIEL T-7000 Multipurpose High Performance Industrial Glue Semi Fluid Black Adhesive Incl. Precision Tips for Clean Working (15ML / 0,51 oz)",Tools,11.99,4.3
143,B007P8CZS0,Mack's 6 pair Pillow Soft Ear Plugs - Kid Size,Other,9.25,3.9
144,B07798M1S2,"Prime-Line MPSC7841-100 Drywall Screws, 6 x 1-1/4 Inch, Coarse Thread, Phillips Drive, Flat Head, Pack of 100, 100 Piece",Other,8.76,4.5
145,B00P2AW1ZU,Ewinever 6-Pack Tourniquet Elastic First Aid Quick Release Medical Sport Emergency Buckle Band,Sports,10.99,4.2
146,B07KYDG54V,"Globe Light Bulbs, Comzler G25 LED Vanity Light Bulb 80W Equivalent, E26 LED Bulb 2700K Soft White, Vanity Bulbs for Bathroom, Makeup Mirror Lights for Bedroom, 900LM, Non-Dimmable, Pack of 4",Beauty,21.99,4.7
